date,roughloc,roughlob,roughlow,roughnec,roughneb,roughnew,roughnic,roughnib,roughniw,loc,lob,low,nec,neb,new,nic,nib,niw
01/03/2020,,,,55381,2246,5379,,,,,,,,,,,,
02/03/2020,,,,54857,2289,5953,,,,,,,,,,,,
03/03/2020,,,,56021,2318,5977,,,,,,,,,,,,
04/03/2020,,,,53175,2240,6143,,,,,,,55051.71429,2271,6096.714286,,,
05/03/2020,,,,52844,2285,6268,,,,,,,54974,2268.285714,6113.857143,,,
06/03/2020,,,,57654,2312,6708,,,,,,,54800.57143,2260.428571,6059.285714,,,
07/03/2020,,,,55430,2207,6249,,,,,,,54909.28571,2255.428571,6023.428571,,,
08/03/2020,,,,54837,2227,5499,,,,,,,55016.28571,2246.428571,5839.285714,,,
09/03/2020,,,,53643,2234,5571,,,,,,,55324.28571,2232.285714,5643.571429,,,
10/03/2020,,,,56782,2283,5726,,,,,,,54767.71429,2209.285714,5523.142857,,,
11/03/2020,291747,18989,53448,53924,2177,4854,,,,,,,54396.85714,2205.285714,5497.142857,,,
12/03/2020,287441,18325,47387,55000,2186,4898,,,,,,,54328.57143,2197.714286,5502.714286,,,
13/03/2020,284479,18839,52057,53758,2151,5865,,,,,,,54413.71429,2202.285714,5530.571429,,,
14/03/2020,311817,18388,45782,52834,2179,6067,,,,291272,18618.28571,47919,52639,2163.857143,5383.571429,,,
15/03/2020,314927,17960,42538,54359,2174,5538,,,,287934.7143,18686.71429,47553.57143,52212.57143,2189.285714,5510,,,
16/03/2020,268615,18162,43289,54239,2266,5766,,,,282828,18822,46660.71429,51239.71429,2189,5559.142857,,,
17/03/2020,279878,19665,50932,44359,2014,4697,,,,277193.2857,18765.28571,45152.85714,50460.71429,2184.285714,5381.285714,,,
18/03/2020,268386,19468,50890,50939,2355,5739,,,,265877.8571,18548.14286,43322.14286,49292.71429,2161.714286,5109,,,
19/03/2020,251694,19272,41137,48190,2184,5242,,,,250414,18131.14286,41017.71429,47326,2111.571429,4862.428571,,,
20/03/2020,245036,18442,41502,48305,2118,4620,,,,240861.5714,17773.14286,38877.71429,45511.28571,2053.428571,4578.571429,,,
21/03/2020,232609,16868,32967,44658,2021,4161,,,,224639.5714,17165.42857,35210.71429,43672.85714,2026.857143,4364,,,
22/03/2020,206680,15041,26407,40592,1823,3812,,,,208012.2857,16499.42857,31415,40558.85714,1921.428571,3987.428571,,,
23/03/2020,201748,15656,28309,41536,1859,3779,,,,203733.1429,15887.71429,30440,37495.57143,1833.571429,3683.428571,,,
24/03/2020,166324,15411,25263,31490,1828,3195,,,,195833,15578.14286,29043,34424.42857,1751.571429,3462.142857,,,
25/03/2020,151995,14806,24320,29141,1617,3103,,,,185052,15543,28369,32083,1683,3256.714286,,,
26/03/2020,221740,14990,34312,26747,1569,3114,,,,178882.2857,15699.85714,28159.42857,30280,1635.571429,3119.428571,,,
27/03/2020,189735,16275,31723,26807,1544,3071,,,,174417.2857,15761.14286,28457.14286,28464.71429,1560,2993.857143,,,
28/03/2020,157142,16622,28249,28268,1541,2723,,,,174952.2857,15735.71429,29369.57143,27842.14286,1499.428571,3000.571429,,,
29/03/2020,163492,16139,24940,27971,1491,2851,,,,173536.7143,15760.71429,30124,27890.28571,1459.285714,3043.142857,,,
