date,roughloc,roughlob,roughlow,roughnec,roughneb,roughnew,roughnic,roughnib,roughniw,loc,lob,low,nec,neb,new,nic,nib,niw
30/03/2020,170493,16085,30393,28829,1330,2900,,,,162733.4286,15771.42857,29626,28397.42857,1420.428571,3013.428571,,,
31/03/2020,170069,15233,31650,27132,1404,3242,,,,156795.1429,15563.14286,29522,28669.42857,1389.571429,3062.857143,,,
01/04/2020,142086,14981,29601,29478,1336,3401,,,,153839.4286,15072.42857,29028.42857,28467.85714,1357.428571,3144,,,
02/04/2020,146117,15065,30826,30297,1297,2906,,,,149844.8571,14704.71429,28855.71429,28499.42857,1330,3279,,,
03/04/2020,148167,14817,30995,28711,1328,3417,,,,147835.7143,14493,28602,28573.71429,1319.428571,3316.142857,,,
04/04/2020,136452,13187,24794,26857,1316,3291,,,,144404.1429,14221,27902.57143,28530.71429,1288.142857,3315.428571,,,
05/04/2020,135530,13565,23731,28192,1299,3796,,,,145954.4286,14079.42857,28171,28359.28571,1263.857143,3320.285714,,,
06/04/2020,156429,14603,28617,29349,1256,3160,,,,146541.1429,13790.85714,27869,28221.71429,1249.142857,3418.571429,,,
07/04/2020,146048,13329,26754,26831,1185,3237,,,,142271.2857,13323.71429,26836.57143,27597.71429,1207.285714,3402.857143,,,
08/04/2020,152938,13990,31480,28278,1166,3435,,,,142538.8571,13326.85714,27159.71429,27612.71429,1173.571429,3404.142857,,,
09/04/2020,150224,13045,28712,29334,1194,3594,,,,142691.8571,13428.71429,27653.85714,27325.42857,1157.571429,3341.285714,,,
10/04/2020,118278,11547,23768,24343,1035,3307,,,,137188.4286,13089.14286,26932.57143,26544.14286,1129.428571,3320.142857,,,
11/04/2020,138325,13209,27056,26962,1080,3300,,,,138121.4286,13068,26801.71429,26792.14286,1118.285714,3380.714286,,,
12/04/2020,136601,14278,27190,26181,1187,3356,,,,137040.8571,12847.57143,25889,26707.57143,1108.142857,3380.571429,,,
13/04/2020,117905,12226,23568,23880,1059,3012,,,,136655,12889.57143,26164.42857,26547.42857,1095.571429,3362.142857,,,
14/04/2020,152579,13181,25838,28567,1107,3661,,,,142196.4286,13193.85714,26632.28571,27261.28571,1117.571429,3388.142857,,,
15/04/2020,145374,12447,25091,27686,1095,3434,,,,143675.4286,13339.28571,27378.42857,27486.85714,1125.857143,3423.714286,,,
16/04/2020,147523,13339,30640,28213,1106,3465,,,,145302.1429,13156.57143,27213.85714,27751.28571,1115.428571,3475.285714,,,
17/04/2020,157068,13677,27043,29340,1189,3489,,,,150892.5714,13156.42857,27342.57143,28425.14286,1124.428571,3519.285714,,,
18/04/2020,148678,14227,32279,28541,1138,3549,,,,151755.5714,13011.14286,27221.71429,28459.42857,1121,3453.571429,,,
19/04/2020,147988,12999,26038,28032,1114,3717,,,,153463.1429,12970.85714,27138,28668.57143,1120.857143,3462.857143,,,
20/04/2020,157038,12225,24469,28597,1122,3320,,,,154996.8571,12841.57143,26692.14286,28829.71429,1120.428571,3478.142857,,,
21/04/2020,158620,12164,24992,28807,1083,3201,,,,155959.8571,12696.85714,26661.71429,28771.71429,1106.571429,3462.285714,,,
22/04/2020,157327,12165,24505,29150,1094,3499,,,,156956.2857,12486,25919.85714,28692.57143,1105,3452.285714,,,
23/04/2020,158259,12434,27519,29341,1103,3572,,,,158345,12473.57143,26353.57143,28994.71429,1107.285714,3454.142857,,,
24/04/2020,163809,12664,26830,28934,1092,3378,,,,160647.2857,12714.42857,27774.85714,29429.57143,1109.428571,3477.142857,,,
25/04/2020,155653,12751,27086,27987,1127,3479,,,,159788.1429,12901.57143,26487.85714,29728.57143,1119.285714,3517.714286,,,
26/04/2020,157709,12912,29074,30147,1130,3730,,,,161674.2857,13097.42857,27046.28571,29946.71429,1133,3469.142857,,,
27/04/2020,173154,13911,34418,31641,1137,3481,,,,163073.8571,13235,26584.42857,30262.14286,1136.428571,3436.285714,,,
28/04/2020,152606,13474,15983,30900,1152,3485,,,,166022.4286,13373.71429,26744.42857,30648.14286,1154.571429,3436.285714,,,
29/04/2020,170530,13536,28414,30677,1190,3159,,,,168979,13433.14286,27641.28571,31063.57143,1151.857143,3433.428571,,,
30/04/2020,168056,13397,24286,31549,1127,3342,,,,170653,13693.57143,28717,31052.57143,1150.714286,3411.714286,,,
01/05/2020,184449,13635,27950,31636,1219,3378,,,,172350.5714,13595.42857,28415.14286,31149,1149.142857,3413,,,
02/05/2020,176349,13167,33364,30895,1108,3459,,,,176544.5714,13522.42857,30063.71429,31319.85714,1141.142857,3409.571429,,,
03/05/2020,169427,14735,36604,30070,1122,3578,,,,176954.4286,13348.28571,29763.42857,31226.14286,1121.428571,3447.285714,,,
04/05/2020,185037,13224,32305,32316,1126,3490,,,,179745.2857,13274.14286,30817.42857,31420,1118.428571,3492.571429,,,
05/05/2020,181964,12963,27523,32096,1096,3461,,,,175711.2857,12991.28571,31226.28571,30756.42857,1081.142857,3490.142857,,,
06/05/2020,173399,12317,26312,30021,1052,3423,,,,175013.8571,12871,30765.28571,30596.42857,1080.857143,3510.285714,,,
07/05/2020,187592,12878,31664,32906,1106,3659,,,,176116.8571,12836.57143,30040.14286,30960,1079.857143,3419.142857,,,
08/05/2020,156211,11655,30812,26991,958,3361,,,,178414.7143,12925.85714,29995.28571,31158.85714,1088.428571,3402.142857,,,
09/05/2020,171467,12325,30137,29775,1106,3600,,,,180599.2857,12989.57143,30886.28571,31390.42857,1099.428571,3421.571429,,,
10/05/2020,177148,14494,31528,32615,1115,2940,,,,185214.8571,13214.14286,32134.14286,32174.71429,1116.285714,3463.428571,,,
11/05/2020,201122,13849,31991,33708,1186,3371,,,,186474,13243.14286,32145.71429,32516.85714,1113,3494.142857,,,
12/05/2020,197256,13409,33760,33717,1173,3597,,,,193147.7143,13404.71429,32125.85714,33799.28571,1142,3592.714286,,,
13/05/2020,205708,13889,35047,35511,1170,3716,,,,198362.4286,13648.71429,33429.28571,34655.14286,1141.571429,3604.285714,,,
14/05/2020,196406,13081,31745,35301,1083,3874,,,,202918,13566.14286,34492.85714,34993.57143,1144.571429,3729.571429,,,
15/05/2020,202927,12786,30673,35968,1161,4051,1554,31,91,203548.2857,13447.85714,34378,35350.14286,1135.285714,3804.857143,,,
16/05/2020,207970,14033,39261,35766,1103,3681,1140,30,57,204944.1429,13369.85714,33683.57143,35689.14286,1121.142857,3845.428571,,,
17/05/2020,209037,13916,38973,34984,1136,3817,1059,24,46,204948.2857,13157.14286,32546.42857,35717.42857,1108.285714,3900.714286,,,
18/05/2020,205534,13021,31187,36204,1121,3898,1211,24,55,207491,13181.85714,32420.71429,36031.28571,1120.857143,3925,1307.857143,29,67.42857143
19/05/2020,207027,12863,28899,36090,1074,3881,1341,29,69,211186.5714,13374.57143,32784.71429,36400.28571,1111.714286,3828.428571,1294.571429,29.14285714,67.57142857
20/05/2020,205737,12400,27087,35709,1080,4103,1464,36,83,213716.5714,13386.57143,31658.28571,36908.71429,1121.857143,3768.285714,1322.428571,28.57142857,67.57142857
21/05/2020,214205,13254,30865,37498,1171,4044,1386,29,71,217627.2857,13579.85714,31525.28571,37394.14286,1134.285714,3783.428571,1368,30.42857143,75.28571429
22/05/2020,228796,14135,33221,38551,1097,3375,1461,32,92,218165.5714,13345.85714,31567.14286,36948.42857,1118.714286,3787.142857,1369.857143,32.14285714,76.42857143
23/05/2020,225680,14117,31376,39325,1174,3260,1335,26,57,221821.1429,13539,32207.57143,37150.57143,1123.714286,3813.571429,1367.285714,31.57142857,79
24/05/2020,236412,15269,38042,38382,1223,3923,1378,37,100,225923.7143,13844.71429,33499.28571,37223.85714,1124.714286,3811,1351.428571,31.28571429,75.14285714
25/05/2020,209302,11383,31480,33084,1012,3924,1224,36,63,227694,13864.71429,33394,37035.28571,1113.142857,3818.857143,1342.571429,30.71428571,75.28571429
26/05/2020,232616,14215,33382,37505,1109,4066,1323,25,87,226297.8571,13726.57143,32482,36627.85714,1119,3930.571429,1327.857143,29.71428571,69.14285714
27/05/2020,234455,14540,36129,36222,1087,4085,1353,34,56,226226.8571,13600.42857,32179.14286,36061.14286,1118.714286,4027.571429,1317.285714,31.14285714,71.42857143
28/05/2020,226597,13394,30128,36178,1090,4099,1324,25,72,224400.4286,13345.28571,30944.28571,36015.71429,1208.857143,4096.714286,1327.142857,30.85714286,68
29/05/2020,219023,13168,26837,35699,1138,4157,1358,25,49,227760.1429,13707.14286,30674.85714,36533.57143,1317.428571,4089.714286,1360.857143,29.57142857,71.42857143
30/05/2020,225183,13234,29256,35358,1172,3939,1261,36,73,228005.7143,13731.57143,30492.57143,36670.14286,1414.428571,4100.142857,1375.142857,31.14285714,67
31/05/2020,223627,13483,29398,38064,1854,4407,1447,35,76,229288.8571,13877.85714,30964,36821.42857,1519.285714,3954.428571,1404.428571,30.71428571,74
01/06/2020,232820,13916,29594,36709,1772,3875,1460,27,87,231932.7143,14272.71429,32661.14286,36998.28571,1624.857143,3890.714286,1411.571429,31.57142857,73.14285714
02/06/2020,234335,14386,32106,38461,1788,4139,1423,36,56,236081.2857,14599,33903.42857,37799.85714,1719,3815.285714,1425.285714,30.85714286,79
03/06/2020,243437,15564,39429,37281,1821,3065,1558,31,105,237082.4286,14878,34227.85714,38301.42857,1793.857143,3719.857143,1433.142857,29.57142857,80
04/06/2020,245104,16158,42008,37416,1829,3653,1374,31,66,239355.4286,15172.14286,35862.85714,38131.71429,1764.142857,3580.571429,1457.142857,28.28571429,82.42857143
05/06/2020,248063,15452,35533,41310,1797,3629,1454,20,90,241178.7143,15477.28571,37739.14286,38454.28571,1765.714286,3618.285714,1467.571429,28.85714286,82.28571429
06/06/2020,232191,15187,31527,38869,1696,3271,1316,27,80,243374.5714,15718.42857,39225.42857,38487.42857,1767.142857,3609.714286,1487.142857,28.42857143,88.28571429
07/06/2020,239538,15542,40843,36876,1646,3432,1615,26,93,242240.2857,15759.42857,38107.14286,38604.42857,1760.285714,3643.142857,1482.857143,27.85714286,85.85714286
08/06/2020,245583,16052,42728,38967,1783,4139,1533,31,86,241735.5714,15709.28571,37552.28571,38706.85714,1747.285714,3593.285714,1521.285714,27.57142857,90.57142857
09/06/2020,249706,16074,42510,38693,1798,4079,1560,33,98,240586,15761.42857,37817.28571,37908.28571,1746.428571,3490.285714,1532.428571,29,88.85714286
10/06/2020,235497,15851,31601,38100,1773,3299,1528,27,88,244121.4286,15746,38582.14286,37295.28571,1753.571429,3569.571429,1582.428571,30.57142857,88.57142857
11/06/2020,241571,15807,38124,38133,1738,3304,1643,29,99,245798,15621.28571,37993.71429,37391.71429,1771.428571,3743.857143,1583.285714,32.71428571,91.42857143
12/06/2020,240016,15817,37388,35720,1791,2908,1532,30,78,247085.5714,15577.42857,37502.57143,37489.28571,1782.714286,3849.285714,1623.714286,32.57142857,95.57142857
13/06/2020,256939,15079,36881,34578,1746,3826,1666,38,78,248160.2857,15525.57143,36657.14286,37578,1791.142857,3926,1640.571429,31.71428571,95.85714286
14/06/2020,251274,14669,36724,37551,1771,4652,1621,41,113,250471.4286,15560,37534,37867.28571,1808.142857,4143.285714,1654.142857,31.85714286,97.85714286
15/06/2020,254596,15745,39290,39650,1862,4877,1816,30,115,250830.5714,15493.85714,36354.14286,38030.28571,1830.571429,4293.142857,1655.428571,32,98.42857143
16/06/2020,257229,15711,36592,39314,1857,4616,1678,27,100,253993.7143,15572.28571,37153,38905.42857,1838.142857,4540.285714,1628.142857,33.57142857,94.42857143
17/06/2020,251675,16092,37739,40125,1892,4820,1623,28,102,255844.4286,15638.71429,37777.28571,40219.85714,1844.142857,4703.142857,1616,34.85714286,96.85714286
18/06/2020,244085,15344,29865,39274,1895,4353,1652,30,103,257741.2857,15861.42857,37988.28571,41053.85714,1842.285714,4646.857143,1630.714286,34.85714286,92.28571429
19/06/2020,262158,16366,42980,41846,1844,4638,1341,41,50,257269.5714,15753.57143,37135.42857,41558.57143,1836.142857,4614,1606.714286,36.28571429,89.57142857
20/06/2020,269894,15544,41251,43779,1788,4966,1581,47,95,257976,15729.85714,36834.71429,42146.57143,1837.142857,4617.142857,1602.285714,38.57142857,87.28571429
21/06/2020,264552,16228,38201,43389,1758,4258,1724,41,81,259280.1429,15611.14286,36054.85714,42468.14286,1814,4599.428571,1614.857143,40.14285714,86.14285714
22/06/2020,251294,14990,33320,43183,1819,4647,1648,40,96,261213.5714,15518.42857,36133,42780.85714,1789.714286,4618.142857,1610.142857,41.28571429,84.42857143
23/06/2020,262174,15545,34487,43430,1864,4638,1647,43,84,261497.2857,15436.42857,34546.57143,42866.28571,1782.857143,4627.428571,1664.285714,42.42857143,92.71428571
24/06/2020,260804,15261,32280,42376,1730,4696,1711,39,94,260665,15575.42857,33852.42857,42721.85714,1786.714286,4439.714286,1665.857143,40.85714286,87.85714286
25/06/2020,257619,14695,30412,41463,1725,4484,1619,38,91,261188.4286,15535.28571,33769.42857,42869.85714,1792.142857,4434.857143,1619.857143,40.28571429,85.57142857
26/06/2020,264144,15792,31875,42444,1796,4703,1720,49,108,264065,15890,35221.42857,43182.71429,1799.571429,4395,1633.714286,40.42857143,91.14285714
27/06/2020,264068,16517,36392,42768,1815,3652,1592,36,61,263431,16054.85714,36005.71429,42924.71429,1774.857143,4352.571429,1641,39.28571429,94
28/06/2020,268216,15947,37620,44425,1796,4224,1402,37,65,265238.8571,16306.57143,37191.28571,42725,1792.857143,4212.571429,1642.428571,38.85714286,95.14285714
29/06/2020,271430,17473,43484,45373,1871,4368,1745,41,135,267756,16722.28571,38234.57143,42963.71429,1819.142857,4298.571429,1652.428571,39.42857143,99.57142857
30/06/2020,257736,16699,39977,41624,1691,4341,1698,35,104,268502.8571,16898,39383.28571,43181.71429,1834.857143,4263.714286,1621.571429,36.28571429,97.57142857
01/07/2020,273459,17023,40579,40978,1856,3716,1721,36,102,268371.1429,16972.28571,40766.42857,43262.28571,1850.714286,4431,1636.571429,34.57142857,103.5714286
02/07/2020,275239,17605,37715,43134,1909,5086,1689,42,122,269798.7143,17037.28571,40987.28571,43624,1873.571429,4453.428571,1668.428571,34,109.4285714
03/07/2020,269372,17022,39916,43970,1906,4459,1504,27,94,269960.1429,16982.71429,41051.42857,43693,1875.428571,4525.285714,1714.571429,35.14285714,108.1428571
04/07/2020,263146,17037,46074,43332,1926,4823,1697,24,103,271252.4286,17061.71429,41202.71429,43984.28571,1917,4583.714286,1770.857143,34.57142857,120.4285714
05/07/2020,278209,16402,39166,46957,1956,4381,1625,33,106,268718,17086.57143,40466.42857,44463.28571,1936.857143,4803.142857,1767.285714,34,123.2857143
06/07/2020,272560,17091,43933,45856,1884,4871,2068,49,126,266029.4286,16988.71429,40780,44719.57143,1944.285714,4808.714286,1784.428571,35,123.8571429
07/07/2020,266782,17252,41036,43663,1982,4750,2092,31,190,266243.1429,17036,41429.71429,45085.85714,1954.285714,4798.285714,1866.428571,35.85714286,131.7142857
08/07/2020,255718,17197,35425,44331,1995,5252,1696,32,122,267740,17015,40838.57143,45475.42857,1952,4889.714286,1894.857143,36.57142857,142
09/07/2020,256419,16920,39910,44928,1961,5125,1809,49,126,265712.1429,16985.28571,40702.57143,45252.28571,1942.857143,4993.857143,1895,39.42857143,142.8571429
10/07/2020,270868,17353,44464,46534,1976,4386,2078,33,149,262511.7143,16835.57143,39837.85714,45218,1960.571429,5027.428571,1798.857143,34.42857143,137.4285714
11/07/2020,273624,16890,41936,46059,1910,5463,1896,29,175,257520.4286,16573.57143,38817.14286,45452.28571,1961,5080.428571,1717.285714,34.57142857,122.4285714
12/07/2020,264014,16194,38214,45395,1892,5110,1626,53,112,257875.8571,16452.42857,39683.57143,45644.28571,1954.571429,5050.142857,1728.714286,36.57142857,124
13/07/2020,250157,16043,37880,45616,2008,5106,1395,14,88,260825,16598.71429,40803.57143,46034.42857,1945.857143,5074,1756,33.14285714,123.5714286
14/07/2020,231843,15418,33891,45303,1985,5121,1521,32,85,259495,16394.28571,39422.14286,46006.71429,1929.714286,5136,1698.142857,35.57142857,121.1428571
15/07/2020,258206,16349,41490,45675,1950,5040,1776,46,133,259205.7143,16390.85714,38929.14286,46071.57143,1936.857143,5066,1723.857143,38.28571429,113.7142857
16/07/2020,277063,17944,47750,47659,1900,5292,2000,25,123,258767.4286,16618.28571,39489.28571,45580,1956.142857,4943,1780.714286,35.57142857,117.1428571
17/07/2020,261558,15922,34794,46340,1863,4820,1673,50,132,260906,16680,39106.14286,45546.14286,1934.857143,4897.857143,1871,40.71428571,123.2857143
18/07/2020,271599,16866,38485,46513,1960,4973,2076,48,123,266825.8571,16907.28571,39658.28571,45644.85714,1926.571429,4869.285714,1938.571429,42.85714286,128
19/07/2020,260946,17786,42135,41954,2027,4249,2024,34,136,269047.7143,17007.71429,39253.57143,45576.42857,1925.428571,4809.714286,1945.428571,41.71428571,127.1428571
20/07/2020,265127,16475,35198,45379,1859,4790,2027,50,131,268768,16938.57143,38653.42857,45025.57143,1930,4616.428571,1935,45,127.4285714
21/07/2020,273282,17009,37756,45994,1927,4921,1994,47,118,270094.7143,17211,39932.71429,45101.57143,1944.428571,4744.714286,1957.714286,43.42857143,126.7142857
22/07/2020,273759,17052,38657,45196,1942,4623,1824,38,127,267997.1429,17284.28571,39188.85714,45168.57143,1933.428571,4809.571429,1962.857143,44.71428571,129.1428571
23/07/2020,275105,17460,43549,43803,1932,3939,1927,48,125,269845.8571,17258.28571,38994.57143,45967.14286,1911.285714,4936.428571,1967.857143,47.57142857,129
24/07/2020,270845,17829,43749,46872,1964,5718,1832,39,127,270566.2857,17547.28571,39789.28571,46168.85714,1932.428571,4842.714286,1959.714286,48.57142857,126.2857143
25/07/2020,256916,17379,33278,46982,1883,5427,2112,57,140,271739.4286,17698,40631.42857,46663.28571,1948.857143,4866.571429,1979.857143,48.57142857,130.2857143
26/07/2020,273887,17604,40775,47544,1872,5137,2059,54,135,270995.5714,17604.85714,40499.42857,47133.42857,1937,4939.142857,2006,48.28571429,131.1428571
27/07/2020,270170,18498,40761,46791,2007,4134,1970,57,112,268698.2857,17358,38803.71429,47492.71429,1949.142857,5078,2016.714286,47.85714286,133.8571429
28/07/2020,281494,18064,43651,49455,2042,5088,2135,47,146,270489,17261.42857,37692.71429,47899.14286,1958.285714,5030.285714,2052.428571,48.85714286,138.7142857
29/07/2020,268552,16400,37733,48487,1859,5131,2007,36,133,275557.2857,17357.85714,38886.14286,48325.85714,1980.428571,5035,2072.428571,45.71428571,141.8571429
30/07/2020,259024,15732,31679,46318,2017,4911,2002,45,144,275591.2857,17269.57143,38474.28571,48354.71429,1991.571429,5014,2071.142857,43.85714286,145
31/07/2020,283380,17153,35972,49717,2028,5384,2082,46,161,275681.1429,17050,38221.14286,48557.14286,1980.857143,5184.714286,2104,41.57142857,153.5714286
01/08/2020,292394,18054,41632,49969,2038,5460,2252,35,162,273275.5714,16859.28571,37503.14286,46772,1951.142857,4924.285714,2080.571429,40.28571429,151.8571429
02/08/2020,274125,16986,37892,47746,1950,4990,2050,41,157,273539,16981.85714,37801.85714,47403,1982.285714,5045.714286,2084.571429,41.85714286,152.2857143
03/08/2020,270799,16961,38989,48208,1932,5329,2200,41,172,274858.5714,17237.28571,39051.71429,47475.57143,1974.857143,5110.428571,2102.142857,41.42857143,154.1428571
04/08/2020,264655,16729,38625,36959,1834,3265,1971,38,134,270743.1429,17135.71429,38456.14286,46376.28571,1955.142857,5000.428571,2070.285714,41.85714286,154.4285714
05/08/2020,270396,17258,39824,52904,2077,5981,2035,47,136,266975.7143,17011.57143,37980.14286,46494.71429,1977.428571,5053.428571,2009.571429,42.28571429,151.2857143
06/08/2020,268261,17520,40428,46826,1965,5364,2125,42,157,265916.4286,16975.57143,37655.14286,46466.85714,1985,5086.714286,2012.285714,42.28571429,151.8571429
07/08/2020,254572,16442,31803,42022,1890,4614,1859,49,163,264986.7143,16906.71429,37111.42857,46468.71429,1986.714286,5061.857143,1981.142857,43,149
08/08/2020,266022,17185,38300,50798,2194,5831,1827,38,140,265385,16966.85714,36832.14286,47790.71429,2002.285714,5285.285714,1976.857143,42.85714286,156
09/08/2020,266710,16734,35617,47551,2003,5223,2069,41,161,265096.1429,16888.71429,36470.28571,47015.28571,1979.428571,5192,1987.285714,42.71428571,160.1428571
10/08/2020,264291,16479,35183,48221,1944,5155,1982,46,152,265386.2857,16897,35938.14286,46590.85714,1978.714286,5082.285714,1945.285714,41.85714286,158.8571429
11/08/2020,267443,17150,36670,46213,1943,4829,1941,37,183,266054.8571,17063,36779.42857,47130.57143,1993.571429,5123.428571,1974.571429,40.42857143,158.2857143
12/08/2020,268374,16711,37291,47476,1917,5328,2108,46,165,263570.2857,17020.14286,36320.57143,45576.71429,1925,4881.714286,2005.571429,41.42857143,163
13/08/2020,270292,17578,36703,43855,1960,4596,1831,36,148,261918.4286,17111.71429,36683,45109.57143,1913.857143,4835.857143,2013.285714,40.71428571,160
14/08/2020,259252,17604,37692,45800,1994,4902,2064,39,159,262550.4286,17241.14286,37104.42857,44839.57143,1920.571429,4803.714286,1992.571429,41.28571429,155.5714286
15/08/2020,248630,16885,35088,39921,1714,4139,2044,45,173,263923.8571,17309.71429,38002.85714,44755.57143,1925.857143,4755.857143,1973.285714,42.28571429,146.7142857
16/08/2020,255147,17375,38154,44281,1925,4902,2123,36,140,262049.1429,17429.28571,36765.14286,45003.14286,1937,4750.428571,1890.142857,41.57142857,139.5714286
17/08/2020,268715,17385,38133,46331,1991,4930,1837,50,121,262452.8571,17311.14286,36826.57143,45411.14286,1929,4812.571429,1850,42.57142857,134
18/08/2020,277057,17630,42959,45625,1980,4494,1806,44,121,265305,17342.71429,37313.71429,45752.14286,1923.142857,4762.428571,1820.285714,43.28571429,128.1428571
19/08/2020,255251,17548,28627,49209,1995,5290,1526,41,115,269296.4286,17352.85714,37767.28571,46960.57143,1959.142857,4877.571429,1822.428571,44.85714286,118.4285714
20/08/2020,273118,16751,37133,46711,1904,5031,1550,43,109,272385.2857,17358.85714,38215.85714,47185.14286,1967.285714,4789.285714,1796,46.28571429,117.7142857
21/08/2020,279217,17825,41102,48187,1953,4551,1856,44,118,272648.8571,17442.14286,38689.28571,47770,1976.142857,4839,1832.285714,45.57142857,122.1428571
22/08/2020,276570,16956,38263,48380,1966,4945,2059,56,105,271401,17362.71429,37758.14286,47662.85714,1970,4697.428571,1851.428571,45.85714286,123.8571429
23/08/2020,276769,17417,41294,45853,1982,4284,1938,46,135,275947,17337,40279.71429,47509.42857,1962.428571,4665.142857,1945.857143,46.28571429,129.7142857
24/08/2020,270560,17968,41447,50425,2053,5278,2091,45,152,274337.5714,17381.85714,39672.57143,47306.42857,1967.428571,4560.714286,2002.571429,46,132.4285714
25/08/2020,268322,17074,36441,44875,1937,3503,1940,46,133,272927.7143,17293,39077.42857,47348.28571,1961,4603.285714,2043.857143,45.28571429,136.7142857
26/08/2020,287073,17368,46278,48135,1942,5064,2187,44,156,272068.5714,17410.71429,39485.42857,47405.85714,1963.285714,4607.285714,2064.714286,44.85714286,149.1428571
27/08/2020,261852,17065,32883,45290,1939,4300,1947,41,128,273128.7143,17484.42857,40253.42857,47546.71429,1946.857143,4750,2078.571429,44.71428571,153.8571429
28/08/2020,269348,17203,36936,48480,1908,4849,2145,39,148,275463.5714,16749.42857,41158.42857,46683.28571,1813.714286,4662.142857,2060.857143,44.71428571,153
29/08/2020,270556,17780,41119,48783,1982,4973,2205,53,192,276988.5714,16809.71429,41938.28571,47402.85714,1820.714286,4902.142857,2071.714286,45.85714286,155.4285714
30/08/2020,284190,17933,46670,46839,1867,5283,2035,45,168,274705.4286,16837.42857,41132.28571,47337.57143,1820.142857,4774.428571,2017.714286,46.28571429,147.4285714
31/08/2020,286904,12823,47782,44381,1121,4663,1967,45,146,276552.8571,17005.14286,42931.71429,48261.57143,1829.285714,4905.857143,2048.857143,49,152.4285714
01/09/2020,278997,17496,41900,49912,1986,5183,2016,54,150,277419.5714,17131.42857,44253.71429,48660.57143,1845.857143,4962.285714,2051.142857,50,155.2857143
02/09/2020,271091,17562,40636,47678,1938,4170,1809,47,100,278620.4286,17068.42857,44414.42857,49157.57143,1860.428571,4994.285714,2043.428571,49.71428571,148.5714286
03/09/2020,274784,18239,45479,51758,2003,5220,2165,60,163,277487.2857,16973.42857,43719.85714,50078.28571,1892.142857,4970.142857,2071.428571,49.14285714,146
04/09/2020,275415,18087,46190,51273,2024,5244,2161,46,168,276472.8571,17730.42857,44136.42857,50530.85714,1997,4971.285714,2100.714286,51.14285714,146.8571429
